,company,hours,stops,price
1,China Eastern,19:20,99,4376
2,China Eastern,29:00,99,4376
3,China Eastern,30:55,99,4376
4,China Eastern,32:00,99,4376
5,China Eastern,32:55,99,4376
6,China Eastern,33:55,99,4376
7,China Eastern,35:55,99,4376
8,China Eastern,36:30,99,4376
9,China Eastern,36:50,99,4376
10,China Eastern,37:25,99,4376
11,China Eastern,37:55,99,4376
12,China Eastern,39:05,99,4376
13,China Eastern,40:05,99,4376
14,China Eastern,41:00,99,4376
